,location.postalCode,location.lat,location.lng,categories
99,M5A,43.653072,-79.362668,Park
100,M5A,43.65398970001592,-79.36108966585638,Art Gallery
101,M5A,43.65441460775697,-79.35525984377686,Office
102,M5A,43.654259,-79.358493,Automotive Shop
103,M5A,43.65583030087566,-79.36095217426936,Recording Studio
104,M5A,43.65352249145508,-79.36199951171875,Flower Shop
105,M5A,43.653726,-79.362885,Rental Car Location
106,M5A,43.65289444556966,-79.36284954017513,Light Rail Station
107,M5A,43.653698826054374,-79.36115566174578,Bistro
108,M5A,43.653624,-79.361032,Food
109,M5A,43.653315525733355,-79.36214009485666,Gastropub
110,M5A,43.65465930209352,-79.35983023530518,General Travel
111,M5A,43.65414810180664,-79.35782623291016,Chinese Restaurant
112,M5A,43.654763,-79.362408,Dog Run
113,M5A,43.653286,-79.362674,Food Truck
114,M5A,43.653253,-79.362648,Food Truck
115,M5A,43.655403,-79.359288,Church
116,L6L,43.6541723866127,-79.36046820226227,Automotive Shop
117,M5A,43.65610515821674,-79.3597412109375,Park
118,M5A,43.6543323006481,-79.3580047320575,Bed & Breakfast
119,M4X,43.65228599875708,-79.3614149093628,Business Service
120,M5A,43.656488,-79.360218,Building
121,M5A,43.65619913310336,-79.36196960718867,Elementary School
122,M5A,43.65629145246512,-79.36188697814941,Bus Stop
0,M6A,43.718169,-79.465038,General Entertainment
1,M6A,43.718495530959125,-79.46449690722636,Furniture / Home Store
2,M6A,43.71894162758098,-79.46388005195001,Accessories Store
3,M6A,43.718744,-79.463914,Clothing Store
4,M6A,43.718846,-79.465906,Clothing Store
5,M6A,43.718804,-79.464125,Clothing Store
7,M6A,43.718499,-79.46696,Clothing Store
9,M6A,43.71821373389962,-79.46389305304558,Boutique
10,M6A,43.71893767381293,-79.46120710491647,Accessories Store
11,M6A,43.71864553376363,-79.46401897142812,Hot Dog Joint
12,M6A,43.71908334694535,-79.4649528666456,Men's Store
13,M6A,43.71813946161509,-79.46554615984843,Bridal Shop
14,M6A,43.719045296434736,-79.46084915034818,Clothing Store
15,M6A,43.71814205,-79.4662064,Board Shop
16,M6A,43.717368335564096,-79.46318395118877,Office
17,M6A,43.718981,-79.463116,Cosmetics Shop
18,M6A,43.71877446713709,-79.46404094554237,Design Studio
19,M6A,43.718468589540734,-79.46405742612461,Design Studio
20,M6A,43.717997,-79.46672,Clothing Store
21,M6A,43.718053735782526,-79.46320043192486,Clothing Store
22,M6A,43.716672,-79.467415,Carpet Store
23,M6A,43.71909636823933,-79.46267482419971,Furniture / Home Store
24,M6A,43.71981510477539,-79.46692228317261,Hardware Store
25,M6A,43.718121,-79.467567,Clothing Store
26,M6A,43.718657,-79.462163,Skating Rink
27,M6A,43.7160021704763,-79.46306858595332,Women's Store
28,M6A,43.719648087348126,-79.46862243347542,BBQ Joint
29,M6A,43.715889754621216,-79.46818846540778,Furniture / Home Store
30,M6A,43.72231185106789,-79.46503400802612,Lighting Store
31,M6A,43.7216845,-79.4663096,Furniture / Home Store
32,M6A,43.719639949831425,-79.45726168185622,Flea Market
33,M6A,43.7194274,-79.4679949,Coffee Shop
34,M6A,43.722025,-79.46617,Frame Store
35,M6A,43.719180444061294,-79.46036020806626,Clothing Store
36,M6A,43.719289,-79.467488,Clothing Store
37,M6A,43.71787829,-79.46724603,Women's Store
38,M6A,43.718252,-79.466354,Office
39,M4Y,43.71928201270124,-79.4615712761879,Salon / Barbershop
40,m6a,43.71908675341768,-79.46296954870189,Furniture / Home Store
41,M6A,43.718331498470725,-79.46587027210803,Hot Dog Joint
42,M6A,43.72140495243032,-79.46641961230708,Factory
43,M6A,43.71803050405025,-79.46406291965137,Office
44,M6A,43.719337,-79.45968,Mattress Store
45,M6A,43.717421206567145,-79.46513964454897,Shop & Service
46,M6A,43.720741,-79.463268,Flower Shop
47,M6A,43.718431101584265,-79.46851256833587,Gift Shop
48,M6A,43.717725,-79.462953,Design Studio
49,M6A,43.71792309108591,-79.46842432022095,Furniture / Home Store
50,M6A,43.718053,-79.465681,Bridal Shop
51,M6A,43.718459,-79.463823,Voting Booth
53,M6A,43.719080011857486,-79.46078871942062,Miscellaneous Shop
54,M6A,43.716164,-79.464324,Office
55,M6A,43.721814,-79.466454,Design Studio
56,M6A,43.718682,-79.461708,Sports Bar
57,M6A,43.71784220022086,-79.46223069665501,Event Space
58,M6A,43.716339,-79.465094,Coworking Space
59,M6A,43.718195,-79.465489,Miscellaneous Shop
60,M6A,43.71663,-79.46003,Design Studio
62,M6A,43.71819532248699,-79.46304661160632,Office
63,M6A,43.71733020267963,-79.46369775194833,Office
64,M6A,43.71913704692334,-79.46196899954919,Arts & Crafts Store
65,M6A,43.72063269498967,-79.4625906427193,Discount Store
66,M6A,43.715855849479816,-79.46497727573369,Other Great Outdoors
67,M6A,43.719212,-79.468124,Spa
71,M6A,43.71650314331055,-79.46485900878906,Factory
72,M6A,43.71772496600647,-79.46744137633169,Office
73,M6A,43.718838,-79.46878,Auto Garage
75,M6A,43.7185861447756,-79.46222256979735,Miscellaneous Shop
76,M6A,43.718892366644944,-79.46134358371631,Accessories Store
77,M6A,43.71760177612305,-79.46783447265625,Furniture / Home Store
78,M6A,43.719041,-79.460263,Cosmetics Shop
79,M6A,43.71799400334082,-79.4629697013504,Building
80,M6A,43.717485666275024,-79.46065664291382,Office
81,M6A,43.71947888770354,-79.46995179123819,Miscellaneous Shop
82,M6A,43.71618161792258,-79.46734249643939,Campaign Office
83,M6A,43.721056,-79.467534,Miscellaneous Shop
84,M6A,43.715439,-79.466916,Government Building
85,M6A,43.71805058479585,-79.46020638298982,Doctor's Office
86,M6A,43.720233821042335,-79.46898221969604,Bank
87,M6A,43.719249,-79.460732,Furniture / Home Store
88,M6A,43.715876,-79.459968,Boxing Gym
89,M6A,43.71889855313541,-79.46469467303574,Clothing Store
90,M6A,43.719792,-79.466523,Automotive Shop
91,M6A,43.716145,-79.4619,Furniture / Home Store
92,M6A,43.72151621147103,-79.46732601644699,Sporting Goods Shop
93,M6A,43.719606,-79.468355,Fast Food Restaurant
94,M6A,43.71981331194036,-79.45952515455424,School
95,M6A,43.72148036234913,-79.46752487479537,Shoe Store
96,M6A,43.719293,-79.468105,Dessert Shop
97,M6A,43.71704154941681,-79.46819395868728,Arcade
98,M6A,43.718595,-79.463939,Food Truck
99,M6A,43.71778418219627,-79.4662328370083,Gym / Fitness Center
100,M6A,43.718283,-79.467393,Grocery Store
101,M6A,43.720117,-79.466421,Automotive Shop
102,M6A,43.718928,-79.460982,Women's Store
103,M6A,43.718827,-79.460307,Boutique
104,M6A,43.721175921943946,-79.46815073490143,Furniture / Home Store
105,M6A,43.72158225237664,-79.46658441372563,Furniture / Home Store
106,M6A,43.719423019906934,-79.4600910140134,Shoe Store
107,M6A,43.720724,-79.463457,Clothing Store
108,M6A,43.71964873335544,-79.46844115592462,Accessories Store
109,M6A,43.71926903,-79.460276,Clothing Store
110,M6A,43.7198530501584,-79.4688751227972,Kids Store
111,M6A,43.715301637553885,-79.46167320448272,Furniture / Home Store
